year,id,model,best_acc,mae,mse,rmse,r2,val_loss,sharp_value
2020,50,Transformer,0.1553375,2.37,8.4312,3.4843834461781036,-1.995842660697154,1.9747232437133788,1.504547633049972
2020,50,CNN,0.1553375,2.37,7.728600000000001,3.1940181589965952,-1.995842660697154,1.8952833294868467,1.504547633049972
2020,50,GRU,0.4675,1.704,6.096,2.7046626407003145,-0.6581799190494841,1.6799172163009644,-0.5587656871320745
2020,50,LSTNet,0.38675,2.04,7.188,2.9369371801249,-0.9322580645161291,1.605875301361084,0.0
2020,50,FuturesNet,0.55,1.42,5.08,2.253885533916929,-0.6581799190494841,1.3997770547866821,-0.65737139662597
2020,300,Transformer,0.17339999999999997,2.328,8.5392,3.5066291506231444,-1.7372599704579028,1.9618282198905943,1.291904463203429
2020,300,CNN,0.16978749999999998,1.917,5.296500000000001,2.5692497904336093,-0.0016617429837519904,2.011743128299713,1.291904463203429
2020,300,GRU,0.48449999999999993,1.6440000000000001,5.892,2.6590223767392405,-0.6188058422076426,1.6593653798103332,-0.8140605610019442
2020,300,LSTNet,0.46325,1.8179999999999998,6.642,2.823189685444462,-0.7084519758316545,1.4870171070098877,0.0
2020,300,FuturesNet,0.57,1.37,4.91,2.215851980616034,-0.6188058422076426,1.3828347027301788,-0.9577183070611108
2020,500,Transformer,0.31428749999999994,1.9559999999999997,7.919999999999999,3.3770993470728694,-0.9345081073476136,1.7164371013641357,0.0
2020,500,CNN,0.21795416666666667,1.93,5.9510000000000005,2.744724660783561,-0.9345081073476136,1.913307785987854,0.0
2020,500,GRU,0.31024999999999997,2.166,7.217999999999999,2.943059632423373,-1.1817390436982564,1.861487603187561,1.0900678093263005
2020,500,LSTNet,0.28475,2.274,7.421999999999999,2.984359227707013,-1.3843714762092922,1.6294300138950348,0.0
2020,500,FuturesNet,0.365,1.805,6.015,2.4525496936861444,-1.1817390436982564,1.5512387156486511,1.2824327168544711
2021,50,Transformer,0.30706249999999996,2.22,9.5328,3.705027935117359,-1.0703674745895229,1.676956558227539,0.0
2021,50,CNN,0.2685291666666666,1.88,6.287599999999999,2.812143810181667,-1.0703674745895229,1.8405321955680847,0.0
2021,50,GRU,0.34425,1.884,5.819999999999999,2.642725865465429,-1.0334577166575825,1.6243059039115906,0.13894084701066306
2021,50,LSTNet,0.29324999999999996,2.244,7.319999999999999,2.9637813684548324,-1.343359840190542,1.7573425054550171,0.0
2021,50,FuturesNet,0.405,1.57,4.85,2.202271554554524,-1.0334577166575825,1.341079443693161,0.16345982001254478
2021,300,Transformer,0.30706249999999996,2.214,9.482399999999998,3.6952206970626253,-1.0701200103741777,1.8249379277229307,0.0
2021,300,CNN,0.30947083333333325,2.13,8.2302,3.29307854921615,-1.0701200103741777,1.7394438624382018,0.0
2021,300,GRU,0.323,1.974,6.138,2.7139638906956742,-1.123309706410403,1.6709997296333312,0.3100843942239113
2021,300,LSTNet,0.28900000000000003,2.07,6.462,2.78467233260935,-1.2350194552529183,1.6958813667297363,0.0
2021,300,FuturesNet,0.38,1.645,5.115,2.2616365755797285,-1.123309706410403,1.3924997746944427,0.3648051696751898
2021,500,Transformer,0.21675,2.52,10.382399999999999,3.8666078156440946,-1.5750000000000002,1.8467029452323913,0.0
2021,500,CNN,0.289,2.238,8.630600000000001,3.3751781053581453,-1.2892857142857141,1.7492808341979982,2.01277391900945
2021,500,GRU,0.36974999999999997,1.9799999999999998,6.54,2.8014282071829006,-0.9981668194317139,1.7469574213027954,0.0
2021,500,LSTNet,0.25075,2.292,7.104,2.919726014543145,-1.6057484924512528,1.8005118012428283,0.9414114457638955
2021,500,FuturesNet,0.435,1.65,5.45,2.3345235059857505,-0.9981668194317139,1.4557982981204987,0.0
2022,50,Transformer,0.26371249999999996,2.262,9.2808,3.6557286551383976,-1.2287349465293813,1.7705479502677917,0.8685346148794519
2022,50,CNN,0.27454999999999996,2.252,8.5536,3.3601144364756856,-1.2287349465293813,1.7804776668548583,0.8685346148794519
2022,50,GRU,0.391,2.238,8.286,3.1532840024330193,-1.0150141167716002,1.8038285136222838,1.6946016064574285
2022,50,LSTNet,0.28900000000000003,2.238,7.23,2.9455050500720588,-1.3611015861508164,1.8931002259254455,0.9104802951690253
2022,50,FuturesNet,0.525,1.605,5.865,2.421776207662467,-0.7115217660920252,1.404551923274994,0.38897913794536854
2022,300,Transformer,0.23842500000000003,2.4059999999999997,9.756,3.748151544428266,-1.4591874699407437,1.8480913639068604,0.0
2022,300,CNN,0.2516708333333333,2.316,8.637200000000002,3.3762877509485203,-1.4591874699407437,1.788195478916168,0.0
2022,300,GRU,0.35274999999999995,2.346,8.562,3.205370493406339,-1.1536534383748744,1.8432825207710266,2.111712005086758
2022,300,LSTNet,0.31024999999999997,2.286,7.853999999999999,3.0699837133118475,-1.2445322747965948,1.6759092092514039,1.3685721662388872
2022,300,FuturesNet,0.415,1.955,7.135,2.671142077838616,-1.1536534383748744,1.5360687673091888,2.4843670648079508
2022,500,Transformer,0.3359625,1.596,5.846399999999998,2.901519601863823,-0.7720745493431107,1.740358543395996,-1.7241562716178793
2022,500,CNN,0.2793666666666667,2.088,7.603200000000001,3.1488721615482054,-0.7720745493431107,1.772816014289856,-1.7241562716178793
2022,500,GRU,0.2975,1.974,5.838,2.646809400013533,-1.2533841290427175,1.6305890679359436,-0.14209294309719578
2022,500,LSTNet,0.25075,2.292,7.152,2.929573347776089,-1.5779661750075702,1.9192415356636046,0.0
2022,500,FuturesNet,0.35,1.645,4.865,2.205674500011278,-1.2533841290427175,1.358824223279953,-0.1671681683496421
